oa_display_name,is_prof,perceived_as_male,host_dept (; delimited if more than one),has_research_group,OpenAlex id,group_url,Notes
Elena M. Kramer,1.0,,,1.0,a5008053111,https://kramerlab.oeb.harvard.edu/publications,
Ioan Raicu,1.0,,,1.0,a5030599558,http://datasys.cs.iit.edu/people/index.html,
Laura M. Hurley,1.0,,,1.0,a5077477494,https://hurley.lab.indiana.edu/publications.html,
Jeffrey J. Gray,1.0,,,1.0,a5009383312,https://graylab.jhu.edu/people.php,
Anthony I. Dell,1.0,,,1.0,a5005797884,http://dellecologylab.org/people,
David J. Van Den Berg,1.0,,,1.0,a5085453531,https://www.researchgate.net/lab/David-J-Berg-Lab,
Ashley N. Schulz,1.0,,,1.0,a5038265616,https://www.schulzforestecolab.com/lab-team.html,
Rachel L. Severson,1.0,,,1.0,a5056602373,https://www.umt.edu/severson-lab/people/students.php,
Angela D. Luis,1.0,,,1.0,a5017367797,https://www.umt.edu/disease-ecology-lab/people/default.php,
L. Scott Mills,1.0,,,1.0,a5041319633,https://www.umt.edu/mills-lab/people1.php,
Mark Hebblewhite,1.0,,,1.0,a5037314876,https://www.umt.edu/ungulate-ecology-lab/default.php,
Monica A. Serban,1.0,,,1.0,a5007710038,https://www.umt.edu/serban-lab/meet_the_team/default.php,
Philip E. Higuera,1.0,,,1.0,a5049717534,https://www.umt.edu/paleo-fire-ecology-lab/people/default.php,
Winsor H. Lowe,1.0,,,1.0,a5027159554,https://www.umt.edu/lowe-lab/people/default.php,
Akasha M. Faist,1.0,,,1.0,a5029940152,https://www.umt.edu/faist-lab/people/default.php,
Daniel Z. Atwater,1.0,,,1.0,a5027906137,,
Michael Hargather,1.0,,,1.0,a5035269561,https://www.nmt.edu/academics/mecheng/faculty/mhargather/research.php,
Sevinç Ercan,1.0,,,1.0,a5044211202,https://sites.google.com/site/ercanlab/people?authuser=0,
Elon A. Ison,1.0,,,1.0,a5021325829,https://isonlab.wordpress.ncsu.edu/group/,
Christof Teuscher,1.0,,,1.0,a5037611164,,
Bridgett M. vonHoldt,1.0,,,1.0,a5015824236,https://vonholdt.princeton.edu/people.html,
Jannette Carey,1.0,,,1.0,a5035598598,https://carey.princeton.edu/about/,
